SourceID,Page,Value,Uncertainty,Unit,Line
R-STRATASYS-FDM-NYLON12-MDS,4,70,,°C,(70 °C to 95 °C) (33.38 μin/[in*°F])
R-STRATASYS-FDM-NYLON12-MDS,4,95,,°C,(70 °C to 95 °C) (33.38 μin/[in*°F])
R-STRATASYS-FDM-NYLON12-MDS,6,5,,%,Strength @ 5% Strain
R-DUPONT-DELRIN-100P,1,3.5,,%,@ 3.5% Strain 74 (10.7)
R-CELANESE-ZYTEL-101L,1,96,,%,[1]: Sulfuric acid 96%
R-CELANESE-ZYTEL-101L,1,1400,,MPa,Tensile Modulus 3100 / 1400 MPa  § /-2
R-CELANESE-ZYTEL-101L,1,55,,MPa,"Yield stress, 50mm/min 82 / 55 MPa  § /-2"
R-CELANESE-ZYTEL-101L,1,25,,%,"Yield strain, 50mm/min 4.5 / 25 %  § /-2"
R-CELANESE-ZYTEL-101L,1,1200,,MPa,Flexural Modulus 2800 / 1200 MPa  § 
R-CELANESE-ZYTEL-101L,1,54,,MPa,Flexural Strength 90 / 54 MPa  § 
R-CELANESE-ZYTEL-101L,1,1400,,MPa,"Tensile creep modulus, 1h * / 1400 MPa  § "
R-CELANESE-ZYTEL-101L,1,820,,MPa,"Tensile creep modulus, 1000h * / 820 MPa  § "
R-CELANESE-ZYTEL-101L,1,23,,°C,"Charpy impact strength, 23°C N / N kJ/m²  § eU"
R-CELANESE-ZYTEL-101L,1,23,,°C,"Charpy notched impact strength, 23°C 5.5 / 15 kJ/m²  § eA"
R-CELANESE-ZYTEL-101L,1,15,,kJ/m,"Charpy notched impact strength, 23°C 5.5 / 15 kJ/m²  § eA"
R-CELANESE-ZYTEL-101L,1,23,,°C,"Izod notched impact strength, 23°C 5.5 / 12 kJ/m²  § A"
R-CELANESE-ZYTEL-101L,1,12,,kJ/m,"Izod notched impact strength, 23°C 5.5 / 12 kJ/m²  § A"
R-CELANESE-ZYTEL-101L,2,23,,°C,"Izod impact strength, 23°C N / N kJ/m²  § U"
R-CELANESE-ZYTEL-101L,2,85,,MPa,"Ball indentation hardness, H 358/30180 / 85 MPa  § "
R-CELANESE-ZYTEL-101L,2,40,,°C,"Glass transition temperature, 10°C/min 70 / 40 °C  § /-3"
R-CELANESE-ZYTEL-101L,2,130,,°C,"RTI, electrical, 0.75mm 130 °C  § B"
R-CELANESE-ZYTEL-101L,2,130,,°C,"RTI, electrical, 1.5mm 130 °C  § B"
R-CELANESE-ZYTEL-101L,2,130,,°C,"RTI, electrical, 3mm 130 °C  § B"
R-CELANESE-ZYTEL-101L,2,130,,°C,"RTI, electrical, 6mm 130 °C  § B"
R-CELANESE-ZYTEL-101L,2,85,,°C,"RTI, strength, 0.75mm 85 °C  § B"
R-CELANESE-ZYTEL-101L,2,85,,°C,"RTI, strength, 3mm 85 °C  § B"
R-CELANESE-ZYTEL-101L,2,85,,°C,"RTI, strength, 6mm 85 °C  § B"
R-CELANESE-ZYTEL-101L,4,80,,°C,Drying Temperature 80 °C
R-CELANESE-ZYTEL-101L,4,0.2,,%,Processing Moisture Content ≤0.2 %
R-CELANESE-ZYTEL-101L,4,290,,°C,Melt Temperature Optimum 290 °C Internal
R-CELANESE-ZYTEL-101L,4,280,,°C,Min. melt temperature 280 °C
R-CELANESE-ZYTEL-101L,4,300,,°C,Max. melt temperature 300 °C
R-CELANESE-ZYTEL-101L,4,90,,°C,Max. mould temperature 90 °C
R-CELANESE-ZYTEL-101L,4,100,,MPa,Hold pressure range 50 - 100 MPa
R-CELANESE-ZYTEL-101L,5,280,,°C,280 °C
R-CELANESE-ZYTEL-101L,5,290,,°C,290 °C
R-CELANESE-ZYTEL-101L,5,300,,°C,300 °C
R-CELANESE-ZYTEL-101L,6,280,,°C,280 °C
R-CELANESE-ZYTEL-101L,6,290,,°C,290 °C
R-CELANESE-ZYTEL-101L,6,300,,°C,300 °C
R-CELANESE-ZYTEL-101L,8,0,,°C,0 °C
R-CELANESE-ZYTEL-101L,8,23,,°C,23 °C
R-CELANESE-ZYTEL-101L,8,40,,°C,40 °C
R-CELANESE-ZYTEL-101L,8,60,,°C,60 °C
R-CELANESE-ZYTEL-101L,8,90,,°C,90 °C
R-CELANESE-ZYTEL-101L,8,120,,°C,Y 120 °C
R-CELANESE-ZYTEL-101L,8,150,,°C,150 °C
R-CELANESE-ZYTEL-101L,9,0,,°C,0 °C
R-CELANESE-ZYTEL-101L,9,23,,°C,23 °C
R-CELANESE-ZYTEL-101L,9,40,,°C,40 °C
R-CELANESE-ZYTEL-101L,9,60,,°C,60 °C
R-CELANESE-ZYTEL-101L,9,90,,°C,90 °C
R-CELANESE-ZYTEL-101L,9,120,,°C,120 °C
R-CELANESE-ZYTEL-101L,9,150,,°C,150 °C
R-CELANESE-ZYTEL-101L,10,0,,°C,0 °C
R-CELANESE-ZYTEL-101L,10,23,,°C,23 °C
R-CELANESE-ZYTEL-101L,10,40,,°C,40 °C
R-CELANESE-ZYTEL-101L,10,60,,°C,60 °C
R-CELANESE-ZYTEL-101L,10,90,,°C,90 °C
R-CELANESE-ZYTEL-101L,10,120,,°C,120 °C
R-CELANESE-ZYTEL-101L,10,150,,°C,150 °C
R-CELANESE-ZYTEL-101L,11,0,,°C,0 °C
R-CELANESE-ZYTEL-101L,11,23,,°C,23 °C
R-CELANESE-ZYTEL-101L,11,40,,°C,40 °C
R-CELANESE-ZYTEL-101L,11,60,,°C,60 °C
R-CELANESE-ZYTEL-101L,11,90,,°C,90 °C
R-CELANESE-ZYTEL-101L,11,120,,°C,120 °C
R-CELANESE-ZYTEL-101L,11,150,,°C,150 °C
R-CELANESE-ZYTEL-101L,12,23,,°C,Stress-strain (isochronous) 23°C (cond.)
R-CELANESE-ZYTEL-101L,13,23,,°C,Creep modulus-time 23°C (cond.)
R-CELANESE-ZYTEL-101L,13,5,,MPa,5 MPa
R-CELANESE-ZYTEL-101L,13,15,,MPa,15 MPa
R-CELANESE-ZYTEL-101L,13,20,,MPa,20 MPa
R-CELANESE-ZYTEL-101L,13,24,,MPa,24 MPa
R-CELANESE-ZYTEL-101L,14,60,,°C,Stress-strain (isochronous) 60°C (cond.)
R-CELANESE-ZYTEL-101L,15,60,,°C,Creep modulus-time 60°C (cond.)
R-CELANESE-ZYTEL-101L,15,4,,MPa,4 MPa
R-CELANESE-ZYTEL-101L,15,6,,MPa,6 MPa
R-CELANESE-ZYTEL-101L,15,8,,MPa,8 MPa
R-CELANESE-ZYTEL-101L,15,12,,MPa,12 MPa
R-CELANESE-ZYTEL-101L,15,14,,MPa,14 MPa
R-CELANESE-ZYTEL-101L,15,15,,MPa,15 MPa
R-CELANESE-ZYTEL-101L,16,90,,°C,Stress-strain (isochronous) 90°C (cond.)
R-CELANESE-ZYTEL-101L,17,90,,°C,Creep modulus-time 90°C (cond.)
