check,level,severity,materialId,material,gradeId,measurementIds,property,value,expected,sourceId,locator,detail
A6-z-above-xy,measurement,low,M057,PA6/66,G057-01,V001024;V001023,Tensile modulus,Z 2.564 > XY 2.223 GPa,Z <= XY (stiffness within 15%),S-POLYCN-PolyMide-CoPA-TDS-V5-2,p. 4: Young’s modulus (Z) | p. 4: Young’s modulus (X-Y),interlayer bonds make Z the weak direction; the direction labels may be swapped (flat vs upright vs on-edge naming)
A6-z-above-xy,measurement,low,M093,PVB,G093-01,V001714;V001713,Charpy strength,Z 59 > XY 55 kJ/m²,Z <= XY,S-PVB-PVB-Prusament-TDS-2021-10-EN,p. 2: Charpy strength unnotched | p. 2: Charpy strength unnotched,interlayer bonds make Z the weak direction; the direction labels may be swapped (flat vs upright vs on-edge naming)
A9-break-strain-below-linear-strain,measurement,medium,M032,ASA Aero,G032-01,V000646;V000644;V000642,Elongation at break,0.9 % < sigma/E = 1.78 %,strain at break >= stress/modulus (thermoplastics soften before failure),B-asa-aero-TDS,p. 2: Breaking Elongation Rate (Z),ASA; 21 MPa / 1.18 GPa
A9-break-strain-below-linear-strain,measurement,medium,M035,PC,G035-01,V000690;V000688;V000686,Elongation at break,2.1 % < sigma/E = 3.86 %,strain at break >= stress/modulus (thermoplastics soften before failure),B-PC-TDS,p. 2: Breaking Elongation Rate (Z),PC; 56 MPa / 1.45 GPa
A9-break-strain-below-linear-strain,measurement,medium,M074,PPS-GF,G074-01,V001384;V001380;V001382,Elongation at break,0.7 % < sigma/E = 1.63 %,strain at break >= stress/modulus (thermoplastics soften before failure),S-PPSGF-TDS-0,p. 1: Breaking Elongation Rate Z,PPS; 42 MPa / 2.581 GPa
B1-headline-outside-envelope,headline,high,M067,PET-CF,G067-01,V001270,hdt045,205 °C,65-100,B-pet-cf-TDS,p. 2: Heat Deflection Temperature,PET/carbon-fibre; specimen unknown
B1-headline-outside-envelope,headline,high,M073,PPS-CF,G073-01,V001359,hdt045,264 °C,90-140,B-pps-cf-TDS,p. 2: Heat Deflection Temperature,PPS/carbon-fibre; specimen unknown
B1-headline-outside-envelope,headline,high,M074,PPS-GF,G074-01,V001378,hdt045,241 °C,90-140,S-PPSGF-TDS-0,p. 1: Heat Deflection Temperature,PPS/glass-fibre; specimen unknown
B1-headline-outside-envelope,headline,medium,M001,PLA,G001-01,V000008,hdt045,80 °C,49-66,X-ECOMAX-PLA-TDS-v3,p. 1: Deflection Temperature at 0.45,PLA/unfilled; specimen printed
B1-headline-outside-envelope,headline,medium,M040,TPU for AMS,G040-01,V000775,tensileModulusXY,1.19 GPa,0.003-0.45,B-tpu-for-ams-TDS,p. 2: Young's Modulus (X-Y),TPU/unfilled; specimen unknown
B1-headline-outside-envelope,headline,low,M019,PLA-GF,G019-01,V000350,hdt045,75.5 °C,50-75,S-POLYCN-Polymaker-HT-PLA-GF-TDS-EN-V1-1,p. 3: Heat deflection temperature,PLA/glass-fibre; specimen unknown
